   2.0000000      0.12611794      1.76578704E-02
   4.0000000      0.15624419      1.55582158E-02
   6.0000000      0.17073567      1.56567488E-02
   11.000000      0.22139081      1.59785431E-02
   19.000000      0.25450033      1.33233834E-02
   34.000000      0.30030611      1.49508072E-02
   60.000000      0.31212887      1.37590095E-02
   106.00000      0.34345749      1.34845013E-02
   188.00000      0.35212654      1.32992882E-02
   331.00000      0.36067092      1.48677826E-02
   584.00000      0.35974896      1.48195410E-02
   1031.0000      0.34663033      1.40595939E-02
   1819.0000      0.32622391      1.72351003E-02
   3209.0000      0.31128526      1.83018614E-02
   5662.0000      0.31144491      5.62854894E-02
