  4.99999970E-02  2.43191477E-02  0.27954102    
  5.24999984E-02  2.97998097E-02  0.10927676    
  5.49999997E-02  3.95791531E-02  6.63087592E-02
  5.74999973E-02  3.25563177E-02  3.81884165E-02
  5.99999987E-02  3.32281888E-02  2.39809845E-02
  6.25000000E-02  3.91584411E-02  1.93015225E-02
  6.49999976E-02  4.64174561E-02  1.42904101E-02
  6.74999952E-02  5.66992573E-02  1.31257381E-02
  7.00000003E-02  7.28793219E-02  1.00554675E-02
  7.24999979E-02  8.84137005E-02  9.46215447E-03
  7.49999955E-02  0.10204080      9.92295984E-03
  7.75000006E-02  0.11726277      1.12220906E-02
  7.99999982E-02  0.14202884      1.19068986E-02
  8.24999958E-02  0.16736783      1.28992088E-02
  8.50000009E-02  0.19307388      1.60153080E-02
  8.74999985E-02  0.22057289      1.67786051E-02
  8.99999961E-02  0.24969548      2.14657467E-02
  9.25000012E-02  0.27482414      2.51142252E-02
  9.49999988E-02  0.31118539      3.85414921E-02
  9.74999964E-02  0.35582289      4.60640565E-02
  9.99999940E-02  0.40295804      5.87919503E-02
  0.10250000      0.48201314      7.74139687E-02
  0.10500000      0.58976710      7.83266053E-02
  0.10749999      0.62895840      0.10586286    
  0.11000000      0.76508152      9.87087563E-02
  0.11250000      0.77648586      0.12002452    
  0.11499999      0.75284976      0.20640068    
  0.11750000      0.89086431      0.13588364    
